"","long","lat","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","color_notes","location","above_ground_sighter_measurement","specific_location","running","chasing","climbing","eating","foraging","other_activities","kuks","quaas","moans","tail_flags","tail_twitches","approaches","indifferent","runs_from","other_interactions","lat_long","zip_codes","community_districts","borough_boundaries","city_council_districts","police_precincts"
"1",-73.9565700386162,40.7902561000937,"33H-AM-1019-02","33H","AM",10192018,2,"Juvenile","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,FALSE,"wrestling with mother",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9565700386162 40.7902561000937)",NA,19,4,19,13
"2",-73.9584970643213,40.7982886348696,"40B-AM-1019-03","40B","AM",10192018,3,"Juvenile","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,"POINT (-73.9584970643213 40.7982886348696)",NA,19,4,19,13
"3",-73.9676410497481,40.7766043512974,"15G-PM-1019-05","15G","PM",10192018,5,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Above Ground","4",NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9676410497481 40.7766043512974)",NA,19,4,19,13
"4",-73.9710541405708,40.7724691605718,"10F-PM-1019-05","10F","PM",10192018,5,"Adult","Black",NA,"Black+",NA,"Above Ground","10","Behind fence, tree",FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9710541405708 40.7724691605718)",NA,19,4,19,13
"5",-73.9597205966324,40.7969409510133,"38B-AM-1019-01","38B","AM",10192018,1,"Adult","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9597205966324 40.7969409510133)",NA,19,4,19,13
"6",-73.958535640774,40.7982737896998,"40B-AM-1019-02","40B","AM",10192018,2,"Juvenile","Gray","White","Gray+White",NA,"Ground Plane","FALSE",NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"POINT (-73.958535640774 40.7982737896998)",NA,19,4,19,13
"7",-73.9708775864433,40.772473633538,"10F-PM-1019-12","10F","PM",10192018,12,"Adult","Black","White","Black+White",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"POINT (-73.9708775864433 40.772473633538)",NA,19,4,19,13
"8",-73.9588468413094,40.7963852299012,"38B-AM-1019-05","38B","AM",10192018,5,"Adult","Gray",NA,"Gray+",NA,"Above Ground","28",NA,FALSE,FALSE,TRUE,FALSE,FALSE,"sitting still",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"POINT (-73.9588468413094 40.7963852299012)",NA,19,4,19,13
"9",-73.9700162034073,40.7815277479588,"19B-AM-1019-02","19B","AM",10192018,2,"Juvenile","Gray","Cinnamon, White","Gray+Cinnamon, White",NA,"Ground Plane","FALSE",NA,TRUE,FALSE,FALSE,TRUE,FALSE,"posing",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"indifferent then runs from","POINT (-73.9700162034073 40.7815277479588)",NA,19,4,19,13
"10",-73.9510747586301,40.7973106833951,"42H-AM-1019-02","42H","AM",10192018,2,"Adult","Gray","Cinnamon","Gray+Cinnamon",NA,"Ground Plane","FALSE",NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"POINT (-73.9510747586301 40.7973106833951)",NA,19,4,19,13
